stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
183979,3186,Otsonkuja E,,64.97913200000002,25.516947,2,,0,,Europe/Helsinki
184250,1213,Paasonperä P,,65.311297,25.481317,4,,0,,Europe/Helsinki
148182,2788,Päivärinne P,,64.882178,25.869272,4,,0,,Europe/Helsinki
120396,1617,Timolantie E,,65.094462,25.420181,2,,0,,Europe/Helsinki
120423,1645,Kaijantie E,,65.088622,25.41087,2,,0,,Europe/Helsinki
120817,2144,Kastellin kirkko P,,65.006567,25.539771,2,,0,,Europe/Helsinki
188505,1858,Korvensuora E,,65.04401300000002,25.572402,2,,0,,Europe/Helsinki
120081,1274,Mustakangas E,,65.224586,25.302874,3,,0,,Europe/Helsinki
150096,3046,Haarankauppa P,,64.784403,25.691721,4,,0,,Europe/Helsinki
101507,1338,Keiska P,,65.19312,25.364904,3,,0,,Europe/Helsinki
148054,2904,Perhekoti P,,64.826725,26.047541,4,,0,,Europe/Helsinki
101612,1397,Hanhela E,,65.175136,25.565285,4,,0,,Europe/Helsinki
183963,3178,Ostomiehentie P,,64.94781,25.542063,2,,0,,Europe/Helsinki
189251,3262,Alasintie P,,64.998746,25.467414,1,,0,,Europe/Helsinki
101308,2450,Oulu th P,,64.957309,26.015217,4,,0,,Europe/Helsinki
231429,3049,Ala-Temmeksen koulu P,,64.781814,25.547454,4,,0,,Europe/Helsinki
148465,1292,Martinniemen koulu E,,65.210819,25.315254,3,,0,,Europe/Helsinki
171807,2347,Joulumerkinpolku P,,64.981077,25.483702,2,,0,,Europe/Helsinki
120835,2168,Hakakatu P,,65.004599,25.489833,2,,0,,Europe/Helsinki
120329,1542,Autokuja P,,65.120822,25.743729,3,,0,,Europe/Helsinki
120375,1595,Seelannintie P,,65.098994,25.419444,2,,0,,Europe/Helsinki
101034,3009,Niskanen E,,64.81139,25.377366,4,,0,,Europe/Helsinki
101281,1939,Paakki E,,65.02704,26.006748,4,,0,,Europe/Helsinki
98508,1549,Viitantie E,,65.116601,25.738839,3,,0,,Europe/Helsinki
307193,3322,Klippatie E,,65.08431389,25.44672778,2,,0,,Europe/Helsinki
120756,2061,Kuparilammintie P,,65.017144,25.543478,2,,0,,Europe/Helsinki
120948,2315,Metsänkuninkaantie P,,64.985034,25.512276,2,,0,,Europe/Helsinki
121063,2456,Sanginsuun koulu P,,64.962634,25.676142,3,,0,,Europe/Helsinki
186809,3328,Närhintie P,,65.009749,25.52762,2,,0,,Europe/Helsinki
183951,3169,Ulkometsäntie E,,64.950821,25.555507,2,,0,,Europe/Helsinki
164367,3106,Nupputie E,,65.072948,25.459705,2,,0,,Europe/Helsinki
120777,2087,Toripakka E,,65.013311,25.469613,2,,0,,Europe/Helsinki
500101,10004,Kontinkangas,,65.010855394714,25.51351095814217,1,,0,,Europe/Helsinki
120537,1763,Yliopiston eläintarha P,,65.061761,25.458842,2,,0,,Europe/Helsinki
121121,2519,Porttiväylän alikulku P,,64.954903,25.524405,2,,0,,Europe/Helsinki
152886,2430,Paasilanmäki P,,64.95907800000002,26.000589,4,,0,,Europe/Helsinki
